"epci2018";"FAM_1_b100";"FAM_2_b100";"FAM_3_b100";"FOR_1_b100";"FOR_2_b100";"FOR_3_b100";"EMP_1_b100";"EMP_2_b100";"EMP_3_b100";"EMP_4_b100";"EQU_2_b100";"EQU_3_b100"
"241700699";70,9283373464245;87,8920380166527;59,0253797434246;96,9370695779777;126,148386913373;138,643434496359;113,256154377573;101,343114202676;110,406446353112;117,151147380672;95,2542030214263;75
"241800325";77,6322372049856;69,6191346725209;71,9117774218715;115,380407180351;110,76462543251;85,6935114899935;90,2826745143011;93,6735373107866;89,577879467579;82,5096544484215;82,503640412259;118,75
"241800374";81,0247614914276;90,4556330699643;96,8253999530072;101,359942074527;104,77728192086;137,696249305054;95,0158695135667;124,57814002441;82,7998642982597;177,099038756088;170,467080557682;137,5
"241800424";60,8861454704963;92,7922606963186;86,3146467277445;59,9940840206587;118,845076816166;114,7045001124;75,0712934268261;119,594249256411;106,988799928558;85,8940217920769;166,617107954513;131,25
"241800432";86,2751461160842;123,332898008888;77,4505147510106;59,9940840206587;139,744124652627;176,129269757093;124,829274964955;92,7669219870242;111,588294388579;96,4198023592484;120,005295145104;12,5
"241800457";65,9160002650862;104,282333618151;83,5093581853626;101,359942074527;122,329429875278;139,142801536383;93,7443872270087;104,078948199736;91,0116582200316;78,2809607512075;170,115865370169;125
"241800507";104,884903412653;93,768488984431;86,1010585217726;101,359942074527;103,350341425632;101,270760681249;97,1703838591361;92,94362639012;90,2671481590292;80,4162177418175;54,0320242078873;43,75
"241900133";68,8736335951456;105,225884652936;66,8326159486981;129,094821527291;114,893961488833;121,657955514716;85,485663591543;109,39029687633;98,8772514473373;87,1240861533035;152,743226168642;50
"241927201";77,6429163424219;47,1598478345411;51,2309984251218;44,6400292835074;104,277963606265;77,8860880421973;65,0563553555332;107,07064014453;78,9540440294501;97,8795751609496;126,152355370427;81,25
"241927243";62,2577006186217;59,8356957704862;42,9226618317267;44,6400292835074;115,812744311321;102,121897369331;69,5401362767824;118,625625215264;97,6020438784392;87,0990689794038;180,329385472509;81,25
"242000354";140,372439418696;191,706806589899;54,2485135532427;71,0698771297539;92,7580450039216;151,861165569916;105,399259246912;90,9781921608654;72,8616599819458;78,1021895756107;40,0660644059533;50
"242000495";88,0645433558277;186,761187068024;58,1524224211634;80,8615915061052;99,4859857803675;135,953515908945;131,198284775198;107,86292232258;104,661999396369;126,018470988412;126,523154625828;250
"242000503";94,8256907143627;112,192968742253;49,1939929368694;94,4762818406915;86,5813915491169;131,628165958591;89,2541355727729;123,121668507916;89,339896225875;104,057865599836;165,007280824518;106,25
"242010056";127,444887080738;138,223945903154;52,1442958751905;94,4762818406915;95,3248594262786;114,26697803163;83,1413684895455;96,6106354590767;60,0516420742597;72,4027119721172;49,933710137432;43,75
"242010130";104,574656333843;165,96164613622;54,5562726683414;70,8417856020879;101,507392470509;180,962845238416;126,637959400792;105,55212327264;75,1230400178521;107,53730943035;89,238631466321;25
"242020071";128,156827543188;80,411239347162;49,512797519042;40,8233277506551;81,9277742531522;44,2462013916665;94,2716889962284;90,1142735092993;63,159196953708;104,824650784392;221,179972169035;12,5
"242020105";105,155653554032;172,486296470456;76,8210630245991;94,8644524742356;101,404201958226;185,33601118569;166,980490511704;113,407720468886;87,6277053611598;132,616768255431;100,163282507191;25
"242100154";69,0762481459155;65,1558387150794;96,1002281480067;69,1193274952735;101,050875688744;85,8538708026195;70,9382014557221;112,817171776897;109,871863270717;112,858929687171;200,84527619768;193,75
"242100410";108,289542499937;63,4714472448746;88,3031092592723;69,1193274952735;89,3399849244595;70,3408700296816;95,1922983789879;96,8431600653089;93,7251159916437;92,2468494165162;65,9158946471047;62,5
"242101434";67,1168022472092;97,0228975315887;72,0063232050569;156,628902747326;127,070857369899;116,489538374951;93,266468413141;120,988768189834;119,515675004954;108,003198182743;275,757930327076;56,25
"242101442";76,7308025869995;79,8784777098999;64,6421359155416;99,4379030683186;129,543951751189;119,93669252793;92,136940459505;105,036461419125;86,8913193112674;119,008318451947;178,829880265315;50
"242101459";65,4612188644017;77,9651357047787;76,8496936359234;99,4379030683186;122,332423507998;109,138156569607;80,9135613768161;120,937846797957;95,1301175427755;137,028852574528;192,643968253255;87,5
"242101491";74,1051455798213;85,3088400148906;73,1252570909794;210,240137915874;126,799156715405;120,901800180241;91,9336165896211;110,745681057871;88,8147935191363;116,77869232456;278,449786391374;43,75
