"epci2018";"SEXE";"FAM_2";"FOR_3";"EMP_1";"EMP_3";"EMP_4"
"200030658";"H";4,2476762851223;14,1926596946617;9,38011350693429;14,0353947412136;25,0357413522824
"200030674";"F";13,4568328632896;20,8326745058671;17,0095429975792;27,8414127878069;19,3727538055942
"200030674";"H";6,20575685250755;18,7966482405269;13,2762702344653;7,20312627864374;16,8008996266335
"200032514";"F";12,1491976225375;23,3490504235402;14,995686757414;26,3714448207722;27,1657715692062
"200032514";"H";4,36069303916319;23,685144296549;14,2682903598784;12,0208716454833;19,1130230863442
"200033025";"F";11,6355144086178;20,8734643901073;14,165920405789;28,4299132851299;15,0622712023708
"200033025";"H";6,14859793314394;17,9839304495033;14,5581116728634;8,05074429043065;15,6634455622405
"200033090";"F";7,44696429511854;14,0016806387062;7,70901907744738;26,7811450798344;14,1604850069729
"200033090";"H";2,60509437516425;13,2792353680365;8,07370799606093;7,57270525120546;12,5018520577074
"200033116";"F";12,0972876916899;20,8296528952467;16,4249153718449;20,8078823566094;18,1202580755664
"200033116";"H";4,62245970785362;16,1477097916457;11,8883877340298;6,76461477809453;15,3561924213136
"200033173";"F";8,39241623420486;7,22417850496756;7,91363930062861;25,2405042918737;11,9647790960208
"200033173";"H";2,77707571417449;10,1960017262765;7,13967601140417;8,74991701712885;11,8535002136502
"200033181";"F";8,43653544405173;16,1651721130938;12,5672507504453;24,7041442396541;13,2606515296629
"200033181";"H";4,24559037355412;18,4179512340736;11,6418402636706;6,59107028209971;13,0786615149698
"200033207";"F";16,180704853156;27,2471109207027;20,5374852222976;27,4734866132718;14,9836331762593
"200033207";"H";6,83374038909567;26,5774111923678;23,4539754790556;8,52020337522796;13,0469619441907
"200033298";"F";8,83424865140443;14,2798079536637;10,6095542745137;25,4935165686118;18,4848575752111
"200033298";"H";4,62157598227422;15,1808993314815;8,7769280936732;6,54370367549015;14,1937855611056
"200033579";"F";11,860276542562;19,8824420069081;15,0009948836796;28,2472732066383;15,0171693623967
"200033579";"H";5,57377161566518;19,8967386927591;15,7534178828292;7,13208788948787;12,4625481709807
"200033827";"F";20,4829924769818;26,6029546394163;20,7804622491224;28,3010297805131;18,0071944112038
"200033827";"H";7,6539256271543;21,9865175564109;13,5850031659304;8,0452560833676;23,8244369082723
"200033868";"F";12,7433427755165;21,0670956526112;18,7687306957076;35,6143509852658;17,3767743134684
"200033868";"H";4,46633545978076;20,2041012825344;17,0423593419762;4,80685510893003;13,1438457084579
